cell,seed,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_latency_imputed,rise_time_imputed,recovery_time_imputed,onset_defined,rise_defined,recovery_defined
A_preset_nostim,5000,0.7413127433288227,36.5,1.7712177121771218,0.49142104542239323,7.0,150.0,5.0,3.772931907687166,0.3811946841157014,0.5239852398523985,1.437906688711527,15.0,7.0,150.0,5.0,1.0,1.0,1.0
A_preset_nostim,5001,0.8274190469217207,40.75,1.7712177121771218,0.5412328801125731,13.0,96.0,26.0,3.993385386011996,0.45074712172723574,0.6199261992619927,1.5689967333865407,13.0,13.0,96.0,26.0,1.0,1.0,1.0
A_preset_nostim,5002,0.714213884691202,24.5,1.5498154981549817,0.47874362818306776,14.0,131.0,11.0,3.7028110546961743,0.3114634190071114,0.3800738007380074,1.3789467861174247,15.0,14.0,131.0,11.0,1.0,1.0,1.0
A_preset_nostim,5003,0.645152186386416,19.666666666666668,2.2140221402214024,0.46754793423506247,58.0,5.0,5.0,3.995390675132297,0.5833442438354423,0.47601476014760147,1.4628306440791266,71.0,58.0,5.0,5.0,1.0,1.0,1.0
A_preset_nostim,5004,0.7169008670608502,27.333333333333332,2.4354243542435423,0.5293026280734291,20.0,63.0,5.0,3.9887264591446843,0.38085930512029637,0.5867158671586716,1.5118999494512408,10.0,20.0,63.0,5.0,1.0,1.0,1.0
A_preset_nostim,5005,0.811008166514626,70.0,0.8856088560885609,0.5641617738974151,104.0,50.0,23.0,4.06322915497972,0.400687655113287,0.7490774907749077,2.1622234699458964,51.0,104.0,50.0,23.0,1.0,1.0,1.0
A_preset_nostim,5006,0.6984851552355246,37.666666666666664,1.1070110701107012,0.46916506687278414,66.0,134.0,14.0,3.802890716971597,0.37990331359894014,0.42066420664206644,2.4168611390079873,66.0,66.0,134.0,14.0,1.0,1.0,1.0
A_preset_nostim,5007,0.7182851086380975,27.333333333333332,0.8856088560885609,0.45175240277883943,5.0,11.0,4.0,3.8235611589270286,0.3370352601213191,0.34317343173431736,2.058960229293677,12.0,5.0,11.0,4.0,1.0,1.0,1.0
A_preset_nostim,5008,0.6672890224881922,37.666666666666664,1.3284132841328413,0.4776775165440262,23.0,4.0,11.0,4.099279192716059,0.48965390269376713,0.45018450184501846,2.052448386366445,65.0,23.0,4.0,11.0,1.0,1.0,1.0
A_preset_nostim,5009,0.8262087517481006,50.666666666666664,1.3284132841328413,0.513263103000489,1.0,110.0,25.0,4.096492185522376,0.44789627906635815,0.5313653136531366,1.8661336664641983,9.0,1.0,110.0,25.0,1.0,1.0,1.0
