noise_ratio,coupling,seed,onset_threshold,n_surrogates,surrogate_method,obs_mean_synchrony,p_mean_synchrony,null_mean_mean_synchrony,null_sd_mean_synchrony,obs_peak_amplitude,p_peak_amplitude,null_mean_peak_amplitude,null_sd_peak_amplitude,obs_dwell_time,p_dwell_time,null_mean_dwell_time,null_sd_dwell_time,obs_switching_rate,p_switching_rate,null_mean_switching_rate,null_sd_switching_rate,obs_bimodality_coefficient,p_bimodality_coefficient,null_mean_bimodality_coefficient,null_sd_bimodality_coefficient,p_onset_defined,p_recovery_defined,obs_onset_defined,obs_recovery_defined
0.05,0.0,1000,0.5,99,prtf,-0.09714880732572588,0.96,0.0029574663119889314,0.062482738589638494,0.27864818332950436,0.84,0.3722456488934484,0.09946440328392442,,,,,0.0,1.0,0.0,0.0,0.4133101454944587,0.73,0.44931266022607247,0.06263979856596229,1.0,1.0,1.0,1.0
0.05,0.0,1001,0.5,99,prtf,0.10588834195332157,0.06,-0.0005947904761181969,0.060286619722344836,0.3946176193669465,0.4,0.37196544907087165,0.09520619280489998,,,,,0.0,1.0,0.0,0.0,0.46900518393488133,0.37,0.45117932372925185,0.062293423069847885,1.0,1.0,1.0,1.0
0.05,0.0,1002,0.5,99,prtf,0.01594173470365583,0.36,0.0014202243460640785,0.05837060791068303,0.39136143549558455,0.44,0.3833556057159753,0.10133173987847317,,,,,0.0,1.0,0.0,0.0,0.5324784457229027,0.16,0.44783196248296514,0.07214033918339287,1.0,1.0,1.0,1.0
0.05,0.0,1003,0.5,99,prtf,-0.11774512261350516,0.98,0.008987761232634074,0.055351483085438205,0.24973483430239896,0.95,0.3745475963707723,0.08823885515156453,,,,,0.0,1.0,0.0,0.0,0.387384845465375,0.79,0.443322428128613,0.06935542516309999,1.0,1.0,1.0,1.0
0.05,0.0,1004,0.5,99,prtf,-0.05619583875534524,0.83,-0.0012348615687635797,0.05952594522654356,0.30373759201410844,0.71,0.3736514192768275,0.10095914063983302,,,,,0.0,1.0,0.0,0.0,0.4492859276808113,0.49,0.4461396872838912,0.07261444990186369,1.0,1.0,1.0,1.0
0.05,0.0,1005,0.5,99,prtf,0.021708230269776516,0.43,0.005938836461441059,0.05585749593897845,0.33340511606162704,0.69,0.3792452116717369,0.09698710069703212,,,,,0.0,1.0,0.0,0.0,0.45757915927820575,0.45,0.4464809404562818,0.06381170679663575,1.0,1.0,1.0,1.0
0.05,0.0,1006,0.5,99,prtf,0.01730456028449952,0.41,7.308614988216894e-05,0.06410841424672985,0.5450427384208314,0.07,0.3745961542544824,0.098803828851969,7.0,0.075,2.8607594936708862,1.542011483671279,0.44280442804428044,1.0,0.34663983003466414,0.17937125705145288,0.4856059984559144,0.27,0.44291048572205227,0.06393747617487107,1.0,1.0,1.0,1.0
0.05,0.0,1007,0.5,99,prtf,0.053561753994518346,0.22,0.005021225795633753,0.06109055619580227,0.32505188963073495,0.7,0.3870646717553389,0.09507945532268486,,,,,0.0,1.0,0.0,0.0,0.41378271555218005,0.74,0.44871780433190456,0.06371707468414799,1.0,1.0,1.0,1.0
0.05,0.0,1008,0.5,99,prtf,0.032623751566555205,0.28,-0.00774995926404283,0.05976328257219518,0.45191193517975276,0.16,0.35481912621797734,0.0918791313895913,,,,,0.0,1.0,0.0,0.0,0.5311071596463968,0.1,0.4399004817480104,0.05806385246065673,1.0,1.0,1.0,1.0
0.05,0.0,1009,0.5,99,prtf,0.053196234017166714,0.28,0.00946441860604699,0.061098385285735,0.3379806420008633,0.64,0.3781952007471084,0.09626069229987164,,,,,0.0,1.0,0.0,0.0,0.508490556446974,0.14,0.444426803362902,0.06781663516751779,1.0,1.0,1.0,1.0
0.05,0.0,1010,0.5,99,prtf,-0.027063217871671257,0.75,0.009550498421925579,0.056390001256082845,0.2864714028395958,0.85,0.37061093297698805,0.0925197964977407,,,,,0.0,1.0,0.0,0.0,0.49317650682154546,0.2,0.43901209600393665,0.06458747765439886,1.0,1.0,1.0,1.0
0.05,0.0,1011,0.5,99,prtf,0.04363497753495933,0.21,0.002651249755519556,0.04916419070658241,0.5519854654260276,0.06,0.3712341444734333,0.08912816251254665,3.0,0.5,5.46969696969697,2.6407503009814426,0.44280442804428044,1.0,0.46069551604606984,0.103348413900679,0.5574333549370377,0.1,0.4556729107233335,0.06808094194514484,1.0,1.0,1.0,1.0
0.05,0.0,1012,0.5,99,prtf,0.031083706404677378,0.21,-0.009147555818628627,0.05146677754100947,0.3450970862689179,0.56,0.37219313306820107,0.09230734396285334,,,,,0.0,1.0,0.0,0.0,0.39898206624175414,0.77,0.44360357743469575,0.06593759785727565,1.0,1.0,1.0,1.0
0.05,0.0,1013,0.5,99,prtf,-0.030677393199827534,0.73,-0.0007389465672844441,0.05228132648929773,0.32946969987329106,0.66,0.3699590527342089,0.09279337292441744,,,,,0.0,1.0,0.0,0.0,0.4886466404662402,0.24,0.44492144768902175,0.05773148118302343,1.0,1.0,1.0,1.0
