noise_ratio,coupling,feature,family,reject_rate
0.05,0.0,mean_synchrony,diagnostic,0.0
0.05,0.0,bimodality_coefficient,,0.0
0.05,0.0,dwell_time,,0.0
0.05,0.0,mean_synchrony,,0.0
0.05,0.0,peak_amplitude,,0.0
0.05,0.0,switching,,0.0
0.1,0.0,mean_synchrony,diagnostic,0.03333333333333333
0.1,0.0,bimodality_coefficient,,0.0
0.1,0.0,dwell_time,,0.0
0.1,0.0,mean_synchrony,,0.0
0.1,0.0,peak_amplitude,,0.0
0.1,0.0,switching,,0.0
0.2,0.0,mean_synchrony,diagnostic,0.0
0.2,0.0,bimodality_coefficient,,0.0
0.2,0.0,dwell_time,,0.0
0.2,0.0,mean_synchrony,,0.0
0.2,0.0,peak_amplitude,,0.0
0.2,0.0,switching,,0.0
0.3,0.0,mean_synchrony,diagnostic,0.0
0.3,0.0,bimodality_coefficient,,0.0
0.3,0.0,dwell_time,,0.0
0.3,0.0,mean_synchrony,,0.0
0.3,0.0,peak_amplitude,,0.0
0.3,0.0,switching,,0.0
0.5,0.0,mean_synchrony,diagnostic,0.0
0.5,0.0,bimodality_coefficient,,0.0
0.5,0.0,dwell_time,,0.0
0.5,0.0,mean_synchrony,,0.0
0.5,0.0,peak_amplitude,,0.0
0.5,0.0,switching,,0.0
0.7,0.0,mean_synchrony,diagnostic,0.0
0.7,0.0,bimodality_coefficient,,0.03333333333333333
0.7,0.0,dwell_time,,0.0
0.7,0.0,mean_synchrony,,0.0
0.7,0.0,peak_amplitude,,0.03333333333333333
0.7,0.0,switching,,0.0
1.0,0.0,mean_synchrony,diagnostic,0.0
1.0,0.0,bimodality_coefficient,,0.03333333333333333
1.0,0.0,dwell_time,,0.0
1.0,0.0,mean_synchrony,,0.0
1.0,0.0,peak_amplitude,,0.06666666666666667
1.0,0.0,switching,,0.0
0.05,0.3,mean_synchrony,diagnostic,0.4666666666666667
0.05,0.3,bimodality_coefficient,,0.03333333333333333
0.05,0.3,dwell_time,,0.03333333333333333
0.05,0.3,mean_synchrony,,0.2
0.05,0.3,peak_amplitude,,0.1
0.05,0.3,switching,,0.0
0.1,0.3,mean_synchrony,diagnostic,0.43333333333333335
0.1,0.3,bimodality_coefficient,,0.03333333333333333
0.1,0.3,dwell_time,,0.0
0.1,0.3,mean_synchrony,,0.2
0.1,0.3,peak_amplitude,,0.06666666666666667
0.1,0.3,switching,,0.0
0.2,0.3,mean_synchrony,diagnostic,0.43333333333333335
0.2,0.3,bimodality_coefficient,,0.0
0.2,0.3,dwell_time,,0.03333333333333333
0.2,0.3,mean_synchrony,,0.2
0.2,0.3,peak_amplitude,,0.06666666666666667
0.2,0.3,switching,,0.0
0.3,0.3,mean_synchrony,diagnostic,0.43333333333333335
0.3,0.3,bimodality_coefficient,,0.0
0.3,0.3,dwell_time,,0.0
0.3,0.3,mean_synchrony,,0.16666666666666666
0.3,0.3,peak_amplitude,,0.03333333333333333
0.3,0.3,switching,,0.0
0.5,0.3,mean_synchrony,diagnostic,0.3333333333333333
0.5,0.3,bimodality_coefficient,,0.06666666666666667
0.5,0.3,dwell_time,,0.0
0.5,0.3,mean_synchrony,,0.06666666666666667
0.5,0.3,peak_amplitude,,0.03333333333333333
0.5,0.3,switching,,0.0
0.7,0.3,mean_synchrony,diagnostic,0.26666666666666666
0.7,0.3,bimodality_coefficient,,0.03333333333333333
0.7,0.3,dwell_time,,0.0
0.7,0.3,mean_synchrony,,0.03333333333333333
0.7,0.3,peak_amplitude,,0.1
0.7,0.3,switching,,0.0
1.0,0.3,mean_synchrony,diagnostic,0.13333333333333333
1.0,0.3,bimodality_coefficient,,0.0
1.0,0.3,dwell_time,,0.0
1.0,0.3,mean_synchrony,,0.03333333333333333
1.0,0.3,peak_amplitude,,0.06666666666666667
1.0,0.3,switching,,0.0
0.05,0.6,mean_synchrony,diagnostic,1.0
0.05,0.6,bimodality_coefficient,,0.13333333333333333
0.05,0.6,dwell_time,,0.16666666666666666
0.05,0.6,mean_synchrony,,1.0
0.05,0.6,peak_amplitude,,1.0
0.05,0.6,switching,,0.26666666666666666
0.1,0.6,mean_synchrony,diagnostic,1.0
0.1,0.6,bimodality_coefficient,,0.13333333333333333
0.1,0.6,dwell_time,,0.2
0.1,0.6,mean_synchrony,,1.0
0.1,0.6,peak_amplitude,,1.0
0.1,0.6,switching,,0.23333333333333334
0.2,0.6,mean_synchrony,diagnostic,1.0
0.2,0.6,bimodality_coefficient,,0.23333333333333334
0.2,0.6,dwell_time,,0.23333333333333334
0.2,0.6,mean_synchrony,,1.0
0.2,0.6,peak_amplitude,,1.0
0.2,0.6,switching,,0.26666666666666666
0.3,0.6,mean_synchrony,diagnostic,1.0
0.3,0.6,bimodality_coefficient,,0.2
0.3,0.6,dwell_time,,0.3
0.3,0.6,mean_synchrony,,1.0
0.3,0.6,peak_amplitude,,0.9333333333333333
0.3,0.6,switching,,0.26666666666666666
0.5,0.6,mean_synchrony,diagnostic,1.0
0.5,0.6,bimodality_coefficient,,0.1
0.5,0.6,dwell_time,,0.13333333333333333
0.5,0.6,mean_synchrony,,1.0
0.5,0.6,peak_amplitude,,0.8333333333333334
0.5,0.6,switching,,0.13333333333333333
0.7,0.6,mean_synchrony,diagnostic,0.9666666666666667
0.7,0.6,bimodality_coefficient,,0.03333333333333333
0.7,0.6,dwell_time,,0.0
0.7,0.6,mean_synchrony,,0.9
0.7,0.6,peak_amplitude,,0.6
0.7,0.6,switching,,0.0
1.0,0.6,mean_synchrony,diagnostic,0.6666666666666666
1.0,0.6,bimodality_coefficient,,0.0
1.0,0.6,dwell_time,,0.03333333333333333
1.0,0.6,mean_synchrony,,0.43333333333333335
1.0,0.6,peak_amplitude,,0.3333333333333333
1.0,0.6,switching,,0.03333333333333333
