condition,dyad,behavioral_sync_s,ibi_corr,eda_corr,peak_amplitude,dwell_time,switching_rate,mean_synchrony,synchrony_entropy,bimodality_coefficient
random_baseline,0,0.0,0.0011,0.2334,0.1832,,0.0,-0.0033,4.117,0.5012
random_baseline,1,0.1,0.1536,0.275,0.3307,,0.0,0.1124,4.008,0.4964
random_baseline,2,0.0,0.1578,0.2614,0.1998,,0.0,0.0584,4.05,0.4146
random_baseline,3,0.1,0.1178,0.2987,0.2423,,0.0,0.0702,4.076,0.5363
random_baseline,4,0.2,0.0927,0.1987,-0.0399,,0.0,-0.1648,3.961,0.4249
random_baseline,5,0.1,0.0544,0.2426,0.0052,,0.0,-0.1587,4.008,0.4372
random_baseline,6,0.1,0.1452,0.2635,0.1864,,0.0,0.0295,3.581,0.8223
random_baseline,7,0.0,0.0151,0.248,0.1892,,0.0,0.0386,3.898,0.4386
random_baseline,8,0.0,0.1176,0.2012,0.0714,,0.0,-0.0627,4.103,0.4644
random_baseline,9,0.1,0.0356,0.1513,0.3703,,0.0,0.0977,3.68,0.4794
random_baseline,10,0.1,0.028,0.1742,0.0324,,0.0,-0.0986,4.211,0.5443
random_baseline,11,0.1,0.0748,0.3555,0.0747,,0.0,-0.062,4.043,0.5226
random_baseline,12,0.1,0.0888,0.332,0.2799,,0.0,0.032,3.922,0.4397
random_baseline,13,0.0,0.1627,0.3512,0.041,,0.0,-0.0761,3.727,0.3696
random_baseline,14,0.1,0.0217,0.3321,0.1631,,0.0,-0.052,4.119,0.5102
random_baseline,15,0.0,0.0761,0.3413,0.1319,,0.0,0.0096,3.865,0.3985
random_baseline,16,0.1,0.0084,0.4005,0.1503,,0.0,-0.1102,3.824,0.7077
random_baseline,17,0.1,0.1442,0.354,0.0435,,0.0,-0.1496,4.134,0.4666
random_baseline,18,0.0,0.2435,0.2952,0.2214,,0.0,-0.0505,4.011,0.6271
random_baseline,19,0.0,0.0332,0.2796,0.1812,,0.0,0.0347,3.896,0.3766
