dataset,k,silhouette,bootstrap_ari_mean,bootstrap_ari_std,n_traces
lerique,2,0.30654251832662777,0.9453124186949754,0.061762588768160695,176
lerique,3,0.22539484061983775,0.6750747751104785,0.2448710056871189,176
lerique,4,0.220258914987463,0.725010079442375,0.17139386296160664,176
lerique,5,0.23065530536960283,0.7060693128017439,0.14035947137646607,176
gordon,2,0.3411706391156706,0.9494125088282158,0.06091025020558106,261
gordon,3,0.3345337370066137,0.7146548950093539,0.20536296404513962,261
gordon,4,0.17409109232663939,0.6044202839428131,0.20203217624744985,261
gordon,5,0.1564128091896668,0.5268248096162954,0.12327282266924142,261
andersen,2,0.24640845038745984,0.8781535712128846,0.10714076887874699,300
andersen,3,0.16882828062545446,0.6717228585463321,0.21763403769145323,300
andersen,4,0.18627378341078213,0.49532122512639826,0.1450051725009227,300
andersen,5,0.17202512795884833,0.4708990188781824,0.16644149049478257,300
