dyad_id,modality,condition,n_signal_samples,n_wcc_points,n_valid_wcc_points,valid_wcc_fraction,wcc_observation_sec,peak_amplitude,dwell_time,switching_rate,mean_synchrony
toy00,neural__behavior,rest,300,271,271,1.0,271.0,0.9051386360329565,6.0,2.2140221402214024,0.6578492625249803
toy00,neural__behavior,trials,300,271,271,1.0,271.0,0.8837844276947271,8.333333333333334,2.6568265682656826,0.7220318690876658
toy01,neural__behavior,rest,300,271,271,1.0,271.0,0.8756450055776923,6.0,1.3284132841328413,0.6547214497006365
toy01,neural__behavior,trials,300,271,271,1.0,271.0,0.9005136847672319,12.25,1.7712177121771218,0.7157832347425589
toy02,neural__behavior,rest,300,271,271,1.0,271.0,0.8521961187321252,,0.0,0.6428428747848749
toy02,neural__behavior,trials,300,271,271,1.0,271.0,0.8801880090808892,8.0,2.2140221402214024,0.6877309146524488
toy03,neural__behavior,rest,300,271,271,1.0,271.0,0.9118094968686212,7.8,2.2140221402214024,0.6595315442772061
toy03,neural__behavior,trials,300,271,271,1.0,271.0,0.8845652063562169,8.333333333333334,2.6568265682656826,0.6980039147075933
toy04,neural__behavior,rest,300,271,271,1.0,271.0,0.8893936574190202,8.0,0.8856088560885609,0.6399729983083319
toy04,neural__behavior,trials,300,271,271,1.0,271.0,0.8578303883547979,12.0,0.44280442804428044,0.6812463075313558
toy05,neural__behavior,rest,300,271,271,1.0,271.0,0.8908708876942179,6.333333333333333,1.3284132841328413,0.662953065079476
toy05,neural__behavior,trials,300,271,271,1.0,271.0,0.9092127683072126,8.8,2.2140221402214024,0.7081386790371735
