onset_delay,rise_duration,decay_duration,plateau_duration,seed,noise_sigma,onset_threshold,c_baseline,c_peak,expected_onset_latency,expected_rise_time,expected_recovery_time,expected_dwell_approx,n_wcc_samples,peak_amplitude,dwell_time,switching_rate,mean_synchrony,onset_latency,rise_time,recovery_time,synchrony_entropy,bimodality_coefficient,fraction_above_threshold,inter_peak_cv,first_peak_time,onset_latency_imputed,rise_time_imputed,recovery_time_imputed,onset_defined,rise_defined,recovery_defined,_params
10.0,5.0,10.0,60.0,3000,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9992255894052974,5.7368421052631575,7.5,0.18537376907172115,12.0,13.0,13.0,4.209440998203095,0.5901723327286621,0.3614864864864865,1.1731762225579379,13.0,12.0,13.0,13.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3001,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9958313308155952,5.090909090909091,8.513513513513512,0.1971308215496954,13.0,13.0,4.0,4.173383871226278,0.5936218198414341,0.375,0.819695471566233,2.0,13.0,13.0,4.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3002,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9795280008491678,5.166666666666667,7.297297297297297,0.1633990041924341,12.0,3.0,6.0,4.175874376397203,0.5204906225079243,0.3344594594594595,1.0739690393226258,13.0,12.0,3.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3003,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.975805691939899,4.25,7.905405405405405,0.1786413967426777,9.0,1.0,4.0,4.1319063449938485,0.48448739425810994,0.2972972972972973,1.0365197136135027,10.0,9.0,1.0,4.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3004,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9854292101045272,5.421052631578948,7.702702702702703,0.15997246752153843,13.0,7.0,6.0,4.227670491851135,0.5881413425527982,0.3581081081081081,1.0486502156934343,18.0,13.0,7.0,6.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3005,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9843768662441222,6.294117647058823,6.891891891891891,0.24822131082991186,12.0,9.0,16.0,4.049079939092415,0.5280493245190305,0.36486486486486486,1.0050225190688995,3.0,12.0,9.0,16.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3006,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9807961067743883,8.153846153846153,5.0675675675675675,0.1533893166171787,10.0,10.0,7.0,4.159919572608774,0.6012299790210758,0.3581081081081081,1.0514259790668652,12.0,10.0,10.0,7.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3007,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9851318623022716,5.9523809523809526,8.513513513513512,0.31177931417517707,1.0,13.0,3.0,4.153377537882193,0.5634921387298693,0.42905405405405406,0.7723949106410171,3.0,1.0,13.0,3.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3008,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9899067202057377,6.571428571428571,5.675675675675675,0.14709224508135135,13.0,1.0,5.0,4.212983212086493,0.5685813751161808,0.3141891891891892,1.1988460017523177,5.0,13.0,1.0,5.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
10.0,5.0,10.0,60.0,3009,0.3,0.5,0.15,0.85,10.0,5.0,10.0,75.0,296,0.9895341543789593,5.65,7.702702702702703,0.23059017534948162,11.0,3.0,4.0,4.170776189864689,0.549879534883807,0.38175675675675674,1.0351315679776627,15.0,11.0,3.0,4.0,1,1,1,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 30.0, 'timing_imputation_rule': 'undefined event timing -> wcc_window_sec; continuous event-only timing -> NaN'}"
