id,dyad,modality,condition,hz,n_wcc_points,obs_dwell_time,obs_switching_rate,p_dwell_time,p_switching_rate,n_surrogates,null_model
pce01__RESP__rest1,pce01,RESP,rest1,1.0,151,12.0,0.794701986754967,0.032,0.508,499,iaaft
pce01__RESP__trials_concat,pce01,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
pce02__ECG__rest1,pce02,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce02__ECG__trials_concat,pce02,ECG,trials_concat,1.0,1051,11.571428571428571,1.598477640342531,1.0,0.972,499,iaaft
pce02__EDA__rest1,pce02,EDA,rest1,1.0,151,4.0,0.794701986754967,0.5,1.0,499,iaaft
pce02__EDA__trials_concat,pce02,EDA,trials_concat,1.0,1051,33.6,1.6555661274976214,0.108,0.14,499,iaaft
pce02__RESP__rest1,pce02,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce02__RESP__trials_concat,pce02,RESP,trials_concat,1.0,1051,11.333333333333334,0.6850618458610848,0.656,0.808,499,iaaft
pce03__ECG__rest1,pce03,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce03__ECG__trials_concat,pce03,ECG,trials_concat,1.0,1051,10.846153846153847,1.4843006660323501,0.32,0.308,499,iaaft
pce03__EDA__rest1,pce03,EDA,rest1,1.0,151,20.0,0.794701986754967,0.3,1.0,499,iaaft
pce03__EDA__trials_concat,pce03,EDA,trials_concat,1.0,1051,17.0,0.6850618458610848,0.556,0.876,499,iaaft
pce03__RESP__rest1,pce03,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce03__RESP__trials_concat,pce03,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
pce04__ECG__rest1,pce04,ECG,rest1,1.0,151,13.0,0.794701986754967,0.556,0.624,499,iaaft
pce04__ECG__trials_concat,pce04,ECG,trials_concat,1.0,1051,18.285714285714285,0.7992388201712655,0.028,0.064,499,iaaft
pce04__EDA__rest1,pce04,EDA,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce04__EDA__trials_concat,pce04,EDA,trials_concat,1.0,1051,28.071428571428573,1.5413891531874406,0.56,0.488,499,iaaft
pce04__RESP__rest1,pce04,RESP,rest1,1.0,151,21.5,1.1920529801324504,0.136,0.02,499,iaaft
pce04__RESP__trials_concat,pce04,RESP,trials_concat,1.0,1051,16.0,0.11417697431018078,0.012,0.216,499,iaaft
pce05__ECG__rest1,pce05,ECG,rest1,1.0,151,7.0,0.794701986754967,0.908,1.0,499,iaaft
pce05__ECG__trials_concat,pce05,ECG,trials_concat,1.0,1051,14.666666666666666,0.6850618458610848,0.004,0.004,499,iaaft
pce05__EDA__rest1,pce05,EDA,rest1,1.0,151,9.0,0.794701986754967,0.38,0.596,499,iaaft
pce05__EDA__trials_concat,pce05,EDA,trials_concat,1.0,1051,29.714285714285715,1.598477640342531,0.416,0.648,499,iaaft
pce05__RESP__rest1,pce05,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce05__RESP__trials_concat,pce05,RESP,trials_concat,1.0,1051,5.0,0.11417697431018078,0.52,0.672,499,iaaft
pce06__ECG__rest1,pce06,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce06__ECG__trials_concat,pce06,ECG,trials_concat,1.0,1051,21.0,1.141769743101808,0.004,0.004,499,iaaft
pce06__EDA__rest1,pce06,EDA,rest1,1.0,151,3.0,0.794701986754967,0.672,1.0,499,iaaft
pce06__EDA__trials_concat,pce06,EDA,trials_concat,1.0,1051,19.933333333333334,1.6555661274976214,0.212,0.252,499,iaaft
pce06__RESP__rest1,pce06,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce06__RESP__trials_concat,pce06,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
pce07__ECG__rest1,pce07,ECG,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce07__ECG__trials_concat,pce07,ECG,trials_concat,1.0,1051,18.6,1.0846812559467174,0.004,0.004,499,iaaft
pce07__EDA__rest1,pce07,EDA,rest1,1.0,151,8.0,1.589403973509934,0.348,1.0,499,iaaft
pce07__EDA__trials_concat,pce07,EDA,trials_concat,1.0,1051,19.6,1.7126546146527117,0.38,0.408,499,iaaft
pce07__RESP__rest1,pce07,RESP,rest1,1.0,151,,0.0,1.0,1.0,499,iaaft
pce07__RESP__trials_concat,pce07,RESP,trials_concat,1.0,1051,,0.0,1.0,1.0,499,iaaft
pce08__ECG__rest1,pce08,ECG,rest1,1.0,151,3.0,0.3973509933774835,1.0,0.032,499,iaaft
pce08__ECG__trials_concat,pce08,ECG,trials_concat,1.0,1051,3.6666666666666665,0.3425309229305424,0.212,1.0,499,iaaft
pce08__EDA__rest1,pce08,EDA,rest1,1.0,151,10.0,0.794701986754967,0.048,0.588,499,iaaft
pce08__EDA__trials_concat,pce08,EDA,trials_concat,1.0,1051,14.555555555555555,1.027592768791627,0.96,1.0,499,iaaft
