id,dyad,modality,condition,hz,n_samples,wcc_json
1147_0208__angular__exp1,1147_0208,angular,exp1,2.0,22,"[-0.073159, -0.424638, -0.124015, -0.233184, -0.114724, 0.102946, 0.274093, 0.079801, -0.275349, 0.050756, 0.35081, -0.046115, -0.278394, -0.582584, -0.515411, -0.083691, -0.072503, -0.182869, -0.5836, -0.783078, -0.493218, -0.337722]"
1147_0208__radial__exp1,1147_0208,radial,exp1,2.0,22,"[-0.1398, 0.075197, 0.378528, 0.110431, 0.273353, -0.09094, 0.376276, 0.048298, -0.355445, -0.183419, -0.167906, 0.0, 0.168217, 0.696172, -0.161092, -0.211651, 0.490496, -0.090443, 0.546208, 0.0, 0.0, 0.0]"
1147_0208__angular__exp2,1147_0208,angular,exp2,2.0,22,"[-0.35743, -0.770516, -0.682698, -0.646228, -0.845006, -0.87655, -0.714678, -0.353409, -0.269311, -0.277957, -0.363234, -0.365654, -0.519922, -0.612716, -0.406255, -0.796713, -0.805564, -0.53923, -0.3631, -0.241058, -0.381592, -0.544758]"
1147_0208__radial__exp2,1147_0208,radial,exp2,2.0,22,"[null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, null, 0.741274, 0.741274, null, null, null]"
1147_0208__angular__exp3,1147_0208,angular,exp3,2.0,22,"[-0.508327, -0.181877, -0.403453, -0.205854, -0.081144, 0.054437, -0.283684, -0.448675, -0.308527, -0.546093, -0.620324, -0.413059, 0.148736, 0.598206, 0.47528, 0.305812, -0.051143, -0.145719, -0.012237, -0.148187, -0.35505, -0.261302]"
1147_0208__radial__exp3,1147_0208,radial,exp3,2.0,22,"[0.94816, 0.302855, 0.142192, 0.551575, 0.048268, 0.297238, 0.470008, -0.253782, 0.164892, 0.972259, 0.272351, -0.274505, 0.356873, 0.865424, 0.828861, 0.333705, 0.17256, 0.479375, 0.187868, -0.199805, -0.124388, -0.219527]"
1147_0208__angular__exp4,1147_0208,angular,exp4,2.0,22,"[-0.277749, -0.768309, -0.739451, -0.377181, 0.002067, -0.220592, -0.574965, -0.162489, 0.036747, 0.127943, -0.196976, -0.435443, -0.088692, 0.292971, 0.154617, 0.014634, 0.150462, 0.064113, -0.021473, 0.244108, 0.145253, -0.299687]"
1147_0208__radial__exp4,1147_0208,radial,exp4,2.0,22,"[null, null, null, null, null, null, null, null, 0.361016, 0.361222, 5e-06, null, null, null, null, null, null, 0.409825, 0.409825, null, null, null]"
1255_2714__angular__exp1,1255_2714,angular,exp1,2.0,22,"[-0.064861, -0.091481, -0.151037, -0.249534, -0.63772, -0.554836, -0.377895, -0.214993, 0.133592, 0.217675, 0.26624, 0.174842, 0.197991, -0.114803, -0.139255, -0.125687, -0.404971, -0.498361, -0.496475, -0.485358, -0.434828, -0.397664]"
1255_2714__radial__exp1,1255_2714,radial,exp1,2.0,22,"[-0.0, -0.316298, -0.32861, -0.117838, 0.362534, 0.517623, -0.178991, -0.273949, 0.115152, 0.338068, 0.224732, 0.233981, 0.664122, -0.0, -0.0, -0.0, -0.145427, -0.270454, -0.274227, -0.187899, -0.436839, -0.245735]"
1255_2714__angular__exp2,1255_2714,angular,exp2,2.0,22,"[-0.300855, 0.041361, 0.021664, -0.582503, -0.87734, -0.635505, -0.259254, -0.427039, -0.483725, -0.026662, -0.229442, -0.465389, -0.673797, -0.832001, -0.529627, -0.53827, -0.889859, -0.601981, -0.03108, -0.157201, -0.604741, -0.689388]"
