onset_latency,rise_time,peak_amplitude,recovery_time,dwell_time,switching_rate,mean_synchrony,synchrony_entropy,onset_defined,rise_defined,recovery_defined,_notes,_params,first_peak_time,baseline_fraction,inter_peak_cv,morphology_label,ground_truth_morphology,replication
,8.0,0.5703350517277332,4.0,1.9268292682926829,32.6,0.5021871860387542,1.283518170575161,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",29.0,0.4827586206896552,0.7170837801498094,oscillatory,sustained,0
,1.0,0.5823018300386166,2.0,1.9743589743589745,31.0,0.5026052483223911,1.2715266481348158,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",4.0,0.5,0.8403051702405772,oscillatory,sustained,1
,1.0,0.5809222603227976,0.0,1.875,28.4,0.4989757117818404,1.3154089139646534,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",5.0,0.4,0.985536376209384,oscillatory,sustained,2
,1.0,0.5820297973912969,0.0,1.9154929577464788,28.2,0.49709777480783846,1.1706004178676443,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",10.0,0.4,0.7985442057876385,oscillatory,sustained,3
,16.0,0.6028937016630304,2.0,2.1176470588235294,27.0,0.49947686001976505,1.29812860843552,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",16.0,0.5625,0.8115153687002695,oscillatory,sustained,4
,1.0,0.575198164474324,0.0,2.090909090909091,30.6,0.5032058729379432,1.3358790106462834,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",11.0,0.5454545454545454,0.8715752102089382,oscillatory,sustained,5
,1.0,0.5706950362446856,2.0,2.164383561643836,29.0,0.5029811421928015,1.1745597671054022,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",73.0,0.4657534246575342,0.7961130309951486,oscillatory,sustained,6
,17.0,0.5695377856522934,2.0,1.9605263157894737,30.2,0.4994550573745999,1.2822358160984364,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",12.0,0.9166666666666666,0.649026792873422,oscillatory,sustained,7
,1.0,0.5853647413906024,2.0,1.9594594594594594,29.4,0.5032367428356121,1.2233954400696228,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",12.0,0.6666666666666666,0.8531006871436124,oscillatory,sustained,8
,1.0,0.5853352989368803,2.0,1.9452054794520548,29.0,0.4975753536356137,1.2837968517831089,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",28.0,0.42857142857142855,0.8672394044669542,oscillatory,sustained,9
,1.0,0.5810140992398241,2.0,2.2054794520547945,29.0,0.5036096105495255,1.252665584070034,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",3.0,0.6666666666666666,1.1107968665447154,oscillatory,sustained,10
,1.0,0.5704687370821486,2.0,1.9090909090909092,30.6,0.49665414224689336,1.2858230932977033,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",17.0,0.4117647058823529,0.730702959746453,oscillatory,sustained,11
,4.0,0.5707717681685137,1.0,2.0405405405405403,29.2,0.5022406575009871,1.2108091346523837,0,1,1,onset undefined,"{'threshold': 0.5, 'hz': 1.0, 'wcc_window_sec': 300.0}",16.0,0.625,0.7044268355226875,oscillatory,sustained,12
