pair,step,auc,delta_auc,generator
sustained_vs_single_peak,Mean WCC,0.99968,0.99968,kuramoto
sustained_vs_single_peak,+ Peak Amplitude,0.99968,0.0,kuramoto
sustained_vs_single_peak,+ Dwell Time,1.0,0.00031999999999998696,kuramoto
sustained_vs_single_peak,+ Switching Rate,1.0,0.0,kuramoto
sustained_vs_single_peak,+ Onset Latency,1.0,0.0,kuramoto
sustained_vs_single_peak,+ Recovery Time,1.0,0.0,kuramoto
sustained_vs_single_peak,+ Rise Time,1.0,0.0,kuramoto
sustained_vs_single_peak,+ Entropy,1.0,0.0,kuramoto
sustained_vs_oscillatory,Mean WCC,0.8334400000000001,0.8334400000000001,kuramoto
sustained_vs_oscillatory,+ Peak Amplitude,0.8915199999999999,0.0580799999999998,kuramoto
sustained_vs_oscillatory,+ Dwell Time,1.0,0.10848000000000013,kuramoto
sustained_vs_oscillatory,+ Switching Rate,1.0,0.0,kuramoto
sustained_vs_oscillatory,+ Onset Latency,1.0,0.0,kuramoto
sustained_vs_oscillatory,+ Recovery Time,1.0,0.0,kuramoto
sustained_vs_oscillatory,+ Rise Time,1.0,0.0,kuramoto
sustained_vs_oscillatory,+ Entropy,1.0,0.0,kuramoto
sustained_vs_asymmetric_decay,Mean WCC,0.9913599999999999,0.9913599999999999,kuramoto
sustained_vs_asymmetric_decay,+ Peak Amplitude,0.9913599999999999,0.0,kuramoto
sustained_vs_asymmetric_decay,+ Dwell Time,1.0,0.008640000000000092,kuramoto
sustained_vs_asymmetric_decay,+ Switching Rate,1.0,0.0,kuramoto
sustained_vs_asymmetric_decay,+ Onset Latency,1.0,0.0,kuramoto
sustained_vs_asymmetric_decay,+ Recovery Time,1.0,0.0,kuramoto
sustained_vs_asymmetric_decay,+ Rise Time,1.0,0.0,kuramoto
sustained_vs_asymmetric_decay,+ Entropy,1.0,0.0,kuramoto
single_peak_vs_oscillatory,Mean WCC,0.99824,0.99824,kuramoto
single_peak_vs_oscillatory,+ Peak Amplitude,0.9984,0.00015999999999993797,kuramoto
single_peak_vs_oscillatory,+ Dwell Time,1.0,0.0016000000000000458,kuramoto
single_peak_vs_oscillatory,+ Switching Rate,1.0,0.0,kuramoto
single_peak_vs_oscillatory,+ Onset Latency,1.0,0.0,kuramoto
single_peak_vs_oscillatory,+ Recovery Time,1.0,0.0,kuramoto
single_peak_vs_oscillatory,+ Rise Time,1.0,0.0,kuramoto
single_peak_vs_oscillatory,+ Entropy,1.0,0.0,kuramoto
single_peak_vs_asymmetric_decay,Mean WCC,0.94056,0.94056,kuramoto
single_peak_vs_asymmetric_decay,+ Peak Amplitude,0.93984,-0.0007199999999999429,kuramoto
single_peak_vs_asymmetric_decay,+ Dwell Time,0.9568,0.016959999999999975,kuramoto
single_peak_vs_asymmetric_decay,+ Switching Rate,0.9669599999999999,0.010159999999999947,kuramoto
single_peak_vs_asymmetric_decay,+ Onset Latency,0.9867999999999999,0.01983999999999997,kuramoto
single_peak_vs_asymmetric_decay,+ Recovery Time,0.9865600000000001,-0.00023999999999979593,kuramoto
single_peak_vs_asymmetric_decay,+ Rise Time,0.9866400000000001,7.999999999996898e-05,kuramoto
single_peak_vs_asymmetric_decay,+ Entropy,0.98688,0.00023999999999990695,kuramoto
oscillatory_vs_asymmetric_decay,Mean WCC,0.92296,0.92296,kuramoto
oscillatory_vs_asymmetric_decay,+ Peak Amplitude,0.93736,0.014399999999999968,kuramoto
oscillatory_vs_asymmetric_decay,+ Dwell Time,0.9998400000000001,0.06248000000000009,kuramoto
oscillatory_vs_asymmetric_decay,+ Switching Rate,0.9998400000000001,0.0,kuramoto
oscillatory_vs_asymmetric_decay,+ Onset Latency,0.9998400000000001,0.0,kuramoto
oscillatory_vs_asymmetric_decay,+ Recovery Time,0.9998400000000001,0.0,kuramoto
oscillatory_vs_asymmetric_decay,+ Rise Time,0.9998400000000001,0.0,kuramoto
oscillatory_vs_asymmetric_decay,+ Entropy,1.0,0.00015999999999993797,kuramoto
sustained_vs_single_peak,Mean WCC,0.5,0.5,whitebox
sustained_vs_single_peak,+ Peak Amplitude,1.0,0.5,whitebox
sustained_vs_single_peak,+ Dwell Time,1.0,0.0,whitebox
sustained_vs_single_peak,+ Switching Rate,1.0,0.0,whitebox
sustained_vs_single_peak,+ Onset Latency,1.0,0.0,whitebox
sustained_vs_single_peak,+ Recovery Time,1.0,0.0,whitebox
sustained_vs_single_peak,+ Rise Time,1.0,0.0,whitebox
sustained_vs_single_peak,+ Entropy,1.0,0.0,whitebox
sustained_vs_oscillatory,Mean WCC,0.5,0.5,whitebox
sustained_vs_oscillatory,+ Peak Amplitude,1.0,0.5,whitebox
sustained_vs_oscillatory,+ Dwell Time,1.0,0.0,whitebox
sustained_vs_oscillatory,+ Switching Rate,1.0,0.0,whitebox
sustained_vs_oscillatory,+ Onset Latency,1.0,0.0,whitebox
sustained_vs_oscillatory,+ Recovery Time,1.0,0.0,whitebox
sustained_vs_oscillatory,+ Rise Time,1.0,0.0,whitebox
sustained_vs_oscillatory,+ Entropy,1.0,0.0,whitebox
sustained_vs_asymmetric_decay,Mean WCC,0.5,0.5,whitebox
sustained_vs_asymmetric_decay,+ Peak Amplitude,1.0,0.5,whitebox
sustained_vs_asymmetric_decay,+ Dwell Time,1.0,0.0,whitebox
sustained_vs_asymmetric_decay,+ Switching Rate,1.0,0.0,whitebox
sustained_vs_asymmetric_decay,+ Onset Latency,1.0,0.0,whitebox
sustained_vs_asymmetric_decay,+ Recovery Time,1.0,0.0,whitebox
sustained_vs_asymmetric_decay,+ Rise Time,1.0,0.0,whitebox
sustained_vs_asymmetric_decay,+ Entropy,1.0,0.0,whitebox
single_peak_vs_oscillatory,Mean WCC,0.5,0.5,whitebox
