pair,step,auc_grey,delta_grey,auc_white,delta_white
sustained_vs_single_peak,Mean WCC,0.95536,0.95536,0.5,0.5
sustained_vs_single_peak,+ Peak Amplitude,0.9559200000000001,0.000560000000000116,1.0,0.5
sustained_vs_single_peak,+ Dwell Time,1.0,0.0440799999999999,1.0,0.0
sustained_vs_single_peak,+ Switching Rate,1.0,0.0,1.0,0.0
sustained_vs_single_peak,+ Onset Latency,1.0,0.0,1.0,0.0
sustained_vs_single_peak,+ Recovery Time,1.0,0.0,1.0,0.0
sustained_vs_single_peak,+ Rise Time,1.0,0.0,1.0,0.0
sustained_vs_single_peak,+ Entropy,1.0,0.0,1.0,0.0
sustained_vs_oscillatory,Mean WCC,0.6157600000000001,0.6157600000000001,0.5,0.5
sustained_vs_oscillatory,+ Peak Amplitude,1.0,0.3842399999999999,1.0,0.5
sustained_vs_oscillatory,+ Dwell Time,1.0,0.0,1.0,0.0
sustained_vs_oscillatory,+ Switching Rate,1.0,0.0,1.0,0.0
sustained_vs_oscillatory,+ Onset Latency,1.0,0.0,1.0,0.0
sustained_vs_oscillatory,+ Recovery Time,1.0,0.0,1.0,0.0
sustained_vs_oscillatory,+ Rise Time,1.0,0.0,1.0,0.0
sustained_vs_oscillatory,+ Entropy,1.0,0.0,1.0,0.0
sustained_vs_asymmetric_decay,Mean WCC,0.8569599999999999,0.8569599999999999,0.5,0.5
sustained_vs_asymmetric_decay,+ Peak Amplitude,0.8604799999999999,0.0035199999999999676,1.0,0.5
sustained_vs_asymmetric_decay,+ Dwell Time,1.0,0.1395200000000001,1.0,0.0
sustained_vs_asymmetric_decay,+ Switching Rate,1.0,0.0,1.0,0.0
sustained_vs_asymmetric_decay,+ Onset Latency,1.0,0.0,1.0,0.0
sustained_vs_asymmetric_decay,+ Recovery Time,1.0,0.0,1.0,0.0
sustained_vs_asymmetric_decay,+ Rise Time,1.0,0.0,1.0,0.0
sustained_vs_asymmetric_decay,+ Entropy,1.0,0.0,1.0,0.0
single_peak_vs_oscillatory,Mean WCC,0.98024,0.98024,0.5,0.5
single_peak_vs_oscillatory,+ Peak Amplitude,1.0,0.01976,0.9987199999999999,0.49871999999999994
single_peak_vs_oscillatory,+ Dwell Time,1.0,0.0,1.0,0.0012800000000000589
single_peak_vs_oscillatory,+ Switching Rate,1.0,0.0,1.0,0.0
single_peak_vs_oscillatory,+ Onset Latency,1.0,0.0,1.0,0.0
single_peak_vs_oscillatory,+ Recovery Time,1.0,0.0,1.0,0.0
single_peak_vs_oscillatory,+ Rise Time,1.0,0.0,1.0,0.0
single_peak_vs_oscillatory,+ Entropy,1.0,0.0,1.0,0.0
single_peak_vs_asymmetric_decay,Mean WCC,0.768,0.768,0.5,0.5
single_peak_vs_asymmetric_decay,+ Peak Amplitude,0.7671999999999999,-0.0008000000000001339,0.99992,0.49992000000000003
single_peak_vs_asymmetric_decay,+ Dwell Time,0.9228000000000002,0.1556000000000003,1.0,7.999999999996898e-05
single_peak_vs_asymmetric_decay,+ Switching Rate,0.9615199999999999,0.038719999999999755,1.0,0.0
single_peak_vs_asymmetric_decay,+ Onset Latency,0.98024,0.01872000000000007,1.0,0.0
single_peak_vs_asymmetric_decay,+ Recovery Time,0.97984,-0.00039999999999995595,1.0,0.0
single_peak_vs_asymmetric_decay,+ Rise Time,0.9797600000000001,-7.999999999996898e-05,1.0,0.0
single_peak_vs_asymmetric_decay,+ Entropy,0.9816,0.0018399999999999528,1.0,0.0
oscillatory_vs_asymmetric_decay,Mean WCC,0.9219999999999999,0.9219999999999999,0.5,0.5
oscillatory_vs_asymmetric_decay,+ Peak Amplitude,1.0,0.07800000000000007,0.4772,-0.022799999999999987
oscillatory_vs_asymmetric_decay,+ Dwell Time,1.0,0.0,0.7738400000000001,0.29664000000000007
oscillatory_vs_asymmetric_decay,+ Switching Rate,1.0,0.0,0.8948799999999999,0.12103999999999981
oscillatory_vs_asymmetric_decay,+ Onset Latency,1.0,0.0,0.9972,0.10232000000000008
oscillatory_vs_asymmetric_decay,+ Recovery Time,1.0,0.0,0.9977599999999999,0.0005599999999998939
oscillatory_vs_asymmetric_decay,+ Rise Time,1.0,0.0,0.9973600000000001,-0.0003999999999997339
oscillatory_vs_asymmetric_decay,+ Entropy,1.0,0.0,0.9972799999999999,-8.000000000019103e-05
