pair,step,auc,delta_auc,generator
sustained_vs_single_peak,Mean WCC,0.95536,0.95536,kuramoto
sustained_vs_single_peak,+ Peak Amplitude,0.9559200000000001,0.000560000000000116,kuramoto
sustained_vs_single_peak,+ Dwell Time,1.0,0.0440799999999999,kuramoto
sustained_vs_single_peak,+ Switching Rate,1.0,0.0,kuramoto
sustained_vs_single_peak,+ Onset Latency,1.0,0.0,kuramoto
sustained_vs_single_peak,+ Recovery Time,1.0,0.0,kuramoto
sustained_vs_single_peak,+ Rise Time,1.0,0.0,kuramoto
sustained_vs_single_peak,+ Entropy,1.0,0.0,kuramoto
sustained_vs_oscillatory,Mean WCC,0.6157600000000001,0.6157600000000001,kuramoto
sustained_vs_oscillatory,+ Peak Amplitude,1.0,0.3842399999999999,kuramoto
sustained_vs_oscillatory,+ Dwell Time,1.0,0.0,kuramoto
sustained_vs_oscillatory,+ Switching Rate,1.0,0.0,kuramoto
sustained_vs_oscillatory,+ Onset Latency,1.0,0.0,kuramoto
sustained_vs_oscillatory,+ Recovery Time,1.0,0.0,kuramoto
sustained_vs_oscillatory,+ Rise Time,1.0,0.0,kuramoto
sustained_vs_oscillatory,+ Entropy,1.0,0.0,kuramoto
sustained_vs_asymmetric_decay,Mean WCC,0.8569599999999999,0.8569599999999999,kuramoto
sustained_vs_asymmetric_decay,+ Peak Amplitude,0.8604799999999999,0.0035199999999999676,kuramoto
sustained_vs_asymmetric_decay,+ Dwell Time,1.0,0.1395200000000001,kuramoto
sustained_vs_asymmetric_decay,+ Switching Rate,1.0,0.0,kuramoto
sustained_vs_asymmetric_decay,+ Onset Latency,1.0,0.0,kuramoto
sustained_vs_asymmetric_decay,+ Recovery Time,1.0,0.0,kuramoto
sustained_vs_asymmetric_decay,+ Rise Time,1.0,0.0,kuramoto
sustained_vs_asymmetric_decay,+ Entropy,1.0,0.0,kuramoto
single_peak_vs_oscillatory,Mean WCC,0.98024,0.98024,kuramoto
single_peak_vs_oscillatory,+ Peak Amplitude,1.0,0.01976,kuramoto
single_peak_vs_oscillatory,+ Dwell Time,1.0,0.0,kuramoto
single_peak_vs_oscillatory,+ Switching Rate,1.0,0.0,kuramoto
single_peak_vs_oscillatory,+ Onset Latency,1.0,0.0,kuramoto
single_peak_vs_oscillatory,+ Recovery Time,1.0,0.0,kuramoto
single_peak_vs_oscillatory,+ Rise Time,1.0,0.0,kuramoto
single_peak_vs_oscillatory,+ Entropy,1.0,0.0,kuramoto
single_peak_vs_asymmetric_decay,Mean WCC,0.768,0.768,kuramoto
single_peak_vs_asymmetric_decay,+ Peak Amplitude,0.7671999999999999,-0.0008000000000001339,kuramoto
single_peak_vs_asymmetric_decay,+ Dwell Time,0.9228000000000002,0.1556000000000003,kuramoto
single_peak_vs_asymmetric_decay,+ Switching Rate,0.9615199999999999,0.038719999999999755,kuramoto
single_peak_vs_asymmetric_decay,+ Onset Latency,0.98024,0.01872000000000007,kuramoto
single_peak_vs_asymmetric_decay,+ Recovery Time,0.97984,-0.00039999999999995595,kuramoto
single_peak_vs_asymmetric_decay,+ Rise Time,0.9797600000000001,-7.999999999996898e-05,kuramoto
single_peak_vs_asymmetric_decay,+ Entropy,0.9816,0.0018399999999999528,kuramoto
oscillatory_vs_asymmetric_decay,Mean WCC,0.9219999999999999,0.9219999999999999,kuramoto
oscillatory_vs_asymmetric_decay,+ Peak Amplitude,1.0,0.07800000000000007,kuramoto
oscillatory_vs_asymmetric_decay,+ Dwell Time,1.0,0.0,kuramoto
oscillatory_vs_asymmetric_decay,+ Switching Rate,1.0,0.0,kuramoto
oscillatory_vs_asymmetric_decay,+ Onset Latency,1.0,0.0,kuramoto
oscillatory_vs_asymmetric_decay,+ Recovery Time,1.0,0.0,kuramoto
oscillatory_vs_asymmetric_decay,+ Rise Time,1.0,0.0,kuramoto
oscillatory_vs_asymmetric_decay,+ Entropy,1.0,0.0,kuramoto
sustained_vs_single_peak,Mean WCC,0.5,0.5,whitebox
sustained_vs_single_peak,+ Peak Amplitude,1.0,0.5,whitebox
sustained_vs_single_peak,+ Dwell Time,1.0,0.0,whitebox
sustained_vs_single_peak,+ Switching Rate,1.0,0.0,whitebox
sustained_vs_single_peak,+ Onset Latency,1.0,0.0,whitebox
sustained_vs_single_peak,+ Recovery Time,1.0,0.0,whitebox
sustained_vs_single_peak,+ Rise Time,1.0,0.0,whitebox
sustained_vs_single_peak,+ Entropy,1.0,0.0,whitebox
sustained_vs_oscillatory,Mean WCC,0.5,0.5,whitebox
sustained_vs_oscillatory,+ Peak Amplitude,1.0,0.5,whitebox
